KPROJ,W,M,PROBES,AvgRecall,AvgAF,QPS,OutFile
11,30,8000,10,0.290000,1.107444,748.071845,runs/hypercube_mnist/run_k11_w30_m8000_p10.txt
11,30,8000,50,0.620000,1.044820,190.940266,runs/hypercube_mnist/run_k11_w30_m8000_p50.txt
11,30,8000,100,0.750000,1.025846,117.334810,runs/hypercube_mnist/run_k11_w30_m8000_p100.txt
11,30,8000,500,0.800000,1.013385,69.657529,runs/hypercube_mnist/run_k11_w30_m8000_p500.txt
11,30,8000,800,0.800000,1.013385,72.037702,runs/hypercube_mnist/run_k11_w30_m8000_p800.txt
11,35,10,1,0.000000,1.656470,32594.524120,runs/hypercube_mnist/run_k11_w35_m10_p1.txt
11,35,10,2,0.000000,1.647971,32829.940906,runs/hypercube_mnist/run_k11_w35_m10_p2.txt
11,35,10,5,0.000000,1.643065,30404.378230,runs/hypercube_mnist/run_k11_w35_m10_p5.txt
11,35,10,10,0.000000,1.643065,28433.323856,runs/hypercube_mnist/run_k11_w35_m10_p10.txt
11,35,10,50,0.000000,1.643065,29231.218942,runs/hypercube_mnist/run_k11_w35_m10_p50.txt
11,35,10,100,0.000000,1.643065,30330.603579,runs/hypercube_mnist/run_k11_w35_m10_p100.txt
11,35,10,500,0.000000,1.643065,26860.059092,runs/hypercube_mnist/run_k11_w35_m10_p500.txt
11,35,10,800,0.000000,1.643065,22722.108612,runs/hypercube_mnist/run_k11_w35_m10_p800.txt
11,35,50,1,0.050000,1.358794,13010.668748,runs/hypercube_mnist/run_k11_w35_m50_p1.txt
11,35,50,2,0.060000,1.337471,11134.617526,runs/hypercube_mnist/run_k11_w35_m50_p2.txt
11,35,50,5,0.060000,1.314096,9304.922304,runs/hypercube_mnist/run_k11_w35_m50_p5.txt
11,35,50,10,0.060000,1.311054,7089.181908,runs/hypercube_mnist/run_k11_w35_m50_p10.txt
11,35,50,50,0.060000,1.311054,8084.074373,runs/hypercube_mnist/run_k11_w35_m50_p50.txt
11,35,50,100,0.060000,1.311054,10224.948875,runs/hypercube_mnist/run_k11_w35_m50_p100.txt
11,35,50,500,0.060000,1.311054,6045.583701,runs/hypercube_mnist/run_k11_w35_m50_p500.txt
11,35,50,800,0.060000,1.311054,9543.806070,runs/hypercube_mnist/run_k11_w35_m50_p800.txt
11,35,100,1,0.060000,1.315424,7496.813854,runs/hypercube_mnist/run_k11_w35_m100_p1.txt
11,35,100,2,0.070000,1.289544,7011.147725,runs/hypercube_mnist/run_k11_w35_m100_p2.txt
11,35,100,5,0.080000,1.242915,5628.729033,runs/hypercube_mnist/run_k11_w35_m100_p5.txt
11,35,100,10,0.100000,1.231549,5539.859288,runs/hypercube_mnist/run_k11_w35_m100_p10.txt
11,35,100,50,0.100000,1.231549,5242.189138,runs/hypercube_mnist/run_k11_w35_m100_p50.txt
11,35,100,100,0.100000,1.231549,5349.882303,runs/hypercube_mnist/run_k11_w35_m100_p100.txt
11,35,100,500,0.100000,1.231549,4701.899567,runs/hypercube_mnist/run_k11_w35_m100_p500.txt
11,35,100,800,0.100000,1.231549,4036.978725,runs/hypercube_mnist/run_k11_w35_m100_p800.txt
11,35,500,1,0.090000,1.297681,4986.287709,runs/hypercube_mnist/run_k11_w35_m500_p1.txt
11,35,500,2,0.100000,1.267460,3301.964669,runs/hypercube_mnist/run_k11_w35_m500_p2.txt
11,35,500,5,0.140000,1.187453,1843.385931,runs/hypercube_mnist/run_k11_w35_m500_p5.txt
11,35,500,10,0.190000,1.157943,1367.689699,runs/hypercube_mnist/run_k11_w35_m500_p10.txt
11,35,500,50,0.220000,1.141998,1095.542239,runs/hypercube_mnist/run_k11_w35_m500_p50.txt
11,35,500,100,0.220000,1.141998,1128.973988,runs/hypercube_mnist/run_k11_w35_m500_p100.txt
11,35,500,500,0.220000,1.141998,1128.095211,runs/hypercube_mnist/run_k11_w35_m500_p500.txt
11,35,500,800,0.220000,1.141998,1140.823218,runs/hypercube_mnist/run_k11_w35_m500_p800.txt
11,35,1000,1,0.090000,1.297681,5054.589567,runs/hypercube_mnist/run_k11_w35_m1000_p1.txt
11,35,1000,2,0.100000,1.266995,2618.692225,runs/hypercube_mnist/run_k11_w35_m1000_p2.txt
11,35,1000,5,0.150000,1.180744,1461.795963,runs/hypercube_mnist/run_k11_w35_m1000_p5.txt
11,35,1000,10,0.260000,1.126560,868.696521,runs/hypercube_mnist/run_k11_w35_m1000_p10.txt
11,35,1000,50,0.330000,1.096255,587.181821,runs/hypercube_mnist/run_k11_w35_m1000_p50.txt
11,35,1000,100,0.330000,1.092230,571.278407,runs/hypercube_mnist/run_k11_w35_m1000_p100.txt
11,35,1000,500,0.330000,1.092230,560.173878,runs/hypercube_mnist/run_k11_w35_m1000_p500.txt
11,35,1000,800,0.330000,1.092230,554.452811,runs/hypercube_mnist/run_k11_w35_m1000_p800.txt
11,35,2000,1,0.090000,1.297681,5319.997872,runs/hypercube_mnist/run_k11_w35_m2000_p1.txt
