K,L,W,AvgRecall,AvgAF,QPS
4,40,500,0.220000,1.157488,62.482622
4,40,1000,0.510000,1.060067,37.213789
4,40,2000,0.940000,1.003464,2.760562
4,60,500,0.240000,1.131812,35.764215
4,60,1000,0.620000,1.039521,20.159929
4,60,2000,0.960000,1.003090,1.701147
